"Study","Site","Study_length","UniqueID","BlockUnique","Block","PlotUnique","Plot","SppN","Plot_Biomassxbar","Plot_Biomasssd","Plot_TempStab","Plot_Asynchrony","Hill_0","Hill_1","Hill_2","FDis3","RaoQ3","FRic3","FDis4","RaoQ4","FRic4","SLA","LDMC","LeafN","LeafP","PCAdim1_3trts","PCAdim1_4trts","PCAdim1_4trts_site","PCAdim1_3trts_site","eMPD","eMNTD","ePSE","sMPD","sMNTD","sPSV"
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_1","1_AgDiv_Belgium","1","1_AgDiv_Belgium","1",4,251.405222533333,142.652911552096,1.76235605567379,-0.524217204645362,4,2.29636576956233,1.84629301106244,0.767222240741911,1.08124301737575,3.25837652895341,0.959226715237866,1.57490532292072,5.41826115116318,24.610306439491,0.266926425579344,3.23026284783794,0.273754274619354,1.33566799312944,1.68144167747372,-0.183747242974828,-0.191176288278439,6.79005921687936,7.55516022019326,0.524860615222947,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_10","1_AgDiv_Belgium","1","10_AgDiv_Belgium","10",4,256.255529533333,188.264933616416,1.36114317526304,0.186819129470636,4,2.54706690329323,2.25529222320939,0.963334905539894,1.35061737431147,3.25837652895341,1.10976644807697,1.744798981331,5.41826115116318,24.4245517023934,0.2720521055673,3.14333147877378,0.274845034374383,1.21779347803954,1.59523747501096,-0.461124631388134,-0.467776308407166,6.02772780559255,6.35605476187124,0.465933627879873,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_11","1_AgDiv_Belgium","1","11_AgDiv_Belgium","11",4,254.678865233333,180.777576357249,1.40879676763694,-0.581642570380391,4,2.32134753048042,1.9012074379382,0.856491675598065,1.17744809337484,3.25837652895341,1.01870207472029,1.62338245850868,5.41826115116318,24.6190808776956,0.266816512567207,3.30208186368194,0.267042323609861,1.40130077640339,1.67950693585663,-0.107437805469219,-0.125685648198344,5.57754372042899,6.61526921451984,0.431135124898463,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_12","1_AgDiv_Belgium","1","12_AgDiv_Belgium","12",1,119.7816149,27.5769808589278,4.34353620915763,NA,1,1,1,0,0,0,0,0,0,26.694146510059,0.204654500509617,2.68990462833321,0.41053610086913,1.32006406409405,2.78719662953016,1.55149743642939,1.77728126593582,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_13","1_AgDiv_Belgium","1","13_AgDiv_Belgium","13",1,181.537301,92.3120189911635,1.96656191668148,NA,1,1,1,0,0,0,0,0,0,22.6394166205325,0.312707283015358,2.2062276560831,0.295057975312209,0.0247208729803133,0.795538939425206,-3.04405541248302,-3.02424205068685,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_14","1_AgDiv_Belgium","1","14_AgDiv_Belgium","14",1,218.942133933333,177.959550726781,1.23029156366815,NA,1,1,1,0,0,0,0,0,0,25.0306036309531,0.259184202506662,3.91860649264075,0.223019486283238,2.02818936250812,1.82608444163951,0.841602967608665,0.753162500202822,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_15","1_AgDiv_Belgium","1","15_AgDiv_Belgium","15",1,116.695814,55.8461209134912,2.08959569780627,NA,1,1,1,0,0,0,0,0,0,27.2467010699297,0.220151837524323,4.39116515566846,0.266285905052619,2.8510218600502,2.85012422277149,3.13306266410334,3.11749708588426,0,0,0,0,0,0
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_16","1_AgDiv_Belgium","1","16_AgDiv_Belgium","16",4,248.059196366667,171.150782742744,1.44936057195557,-0.264529813779236,4,2.6228584514867,2.24747567473263,1.06096390899757,1.53323955161961,3.25837652895341,1.26147045246055,2.08406818620935,5.41826115116318,24.7513865301105,0.262792154833655,3.16379518809037,0.285958702416978,1.30760421561961,1.75862601365549,-0.0971224807566377,-0.084050693305191,6.78199865885219,8.6641317138911,0.52423754710085,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_17","1_AgDiv_Belgium","1","17_AgDiv_Belgium","17",4,242.114754366667,144.240745027047,1.67854619942005,0.205680879681498,4,2.3434375714775,2.12502044090104,0.989661656895911,1.38586739223514,3.25837652895341,1.10545830894425,1.72601656816723,5.41826115116318,23.9236408016735,0.282888337067751,2.88342577347035,0.280198514693716,0.887774420978074,1.37192602405851,-1.17084712195971,-1.17036512319777,6.09966534874757,8.07865694959387,0.471494283825863,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_18","1_AgDiv_Belgium","1","18_AgDiv_Belgium","18",4,245.2873797,155.50592433775,1.57735070702033,-0.350491112487634,4,2.31215179395666,1.87417516333999,0.936115895250619,1.27204164992267,3.25837652895341,1.10738379577179,1.71102390106182,5.41826115116318,24.4459467937291,0.271067963518878,3.19183145205746,0.270918562718818,1.26717949209689,1.60285235435955,-0.383340353295547,-0.396053576327011,5.39678679115409,5.85465924046782,0.417162906089355,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_19","1_AgDiv_Belgium","1","19_AgDiv_Belgium","19",4,245.0915308,137.318763883399,1.78483641906443,-0.102638571406531,4,2.65535959001773,2.37367732323021,1.10395749299261,1.67089855441978,3.25837652895341,1.23273876854292,2.01950855218185,5.41826115116318,24.4848133339895,0.271135388301774,3.13864836742673,0.277751954154114,1.2239787632624,1.62421948202046,-0.418961288206,-0.420899117298069,5.66344419723811,7.42663235985472,0.437775093073394,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_2","1_AgDiv_Belgium","1","2_AgDiv_Belgium","2",4,263.357864833333,167.626705827211,1.57109729940527,0.341553391894131,4,2.68642731563502,2.31924586293716,1.13725317363146,1.6076040364462,3.25837652895341,1.28801431450467,2.03263718948551,5.41826115116318,24.2404710868,0.275732861785176,3.04382049893261,0.277196165090204,1.09401319965154,1.51421596807756,-0.719467403527522,-0.72276297063249,6.00855842665382,6.67913112727254,0.464451865835999,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_20","1_AgDiv_Belgium","1","20_AgDiv_Belgium","20",4,239.4816262,131.434004968351,1.82206747985552,-0.741809374488298,4,2.21695504758907,1.74413094136823,0.787968447215216,1.12493639761839,3.25837652895341,0.916094837102693,1.46577107743839,5.41826115116318,24.5194221210716,0.269823863271843,3.29917503870352,0.263331404636764,1.37624111163544,1.62897475251306,-0.219065225877369,-0.243917028771135,5.13103590919893,5.96849686096014,0.396620791956935,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_21","1_AgDiv_Belgium","1","21_AgDiv_Belgium","21",4,242.997520433333,151.928054425647,1.59942494723551,-0.508432991587771,4,2.61185062694009,2.27374711427581,1.00065836320991,1.49548376663734,3.25837652895341,1.1513794341125,1.91040988625195,5.41826115116318,24.4952360170917,0.269949658191295,3.14642669558431,0.277376313817189,1.23638258500426,1.63091946948619,-0.381589761522228,-0.383731580309706,6.43344260522015,6.88094568261988,0.497294726882991,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_22","1_AgDiv_Belgium","1","22_AgDiv_Belgium","22",4,247.099952833333,161.298447344804,1.53194253820133,-0.790839106481495,4,1.93906059772425,1.57870077675874,0.682719050934774,0.893270987044477,3.25837652895341,0.853114869071317,1.34696755621136,5.41826115116318,24.6423465720607,0.266108505508357,3.32747852600279,0.265475560504363,1.4292701753397,1.68923827338284,-0.057159417331932,-0.0777833885402367,5.70162899034056,6.40220186968281,0.440726715932602,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_23","1_AgDiv_Belgium","1","23_AgDiv_Belgium","23",4,259.698524233333,140.835827953504,1.84398052688036,-0.814514049949929,4,2.68035254919177,2.32099878930712,1.00178404615749,1.52190229484798,3.25837652895341,1.14270726588517,1.91249442642742,5.41826115116318,24.8616174798723,0.262565623260565,3.37008428204679,0.270175428109419,1.50583767886337,1.79016196275262,0.158776766102468,0.145915233872107,5.70677903999938,6.25969027235511,0.441124806456707,13.9403844975369,8.47544779185739,0.718379477028512
"AgDiv","AgDiv_Belgium",3,"AgDiv_AgDiv_Belgium_1_24","1_AgDiv_Belgium","1","24_AgDiv_Belgium","24",4,252.501081166667,159.185066928266,1.58621085532132,-0.624390715942669,4,2.55062088089336,2.26083867928075,0.941645731257358,1.31818800048525,3.25837652895341,1.07668370127496,1.71878520355794,5.41826115116318,25.0106681542645,0.259072999709968,3.44727951602614,0.268587795493897,1.60486547334807,1.85725153820001,0.375490801278439,0.360618585815758,4.84730607566573,6.54528305141814,0.374688933893733,13.9403844975369,8.47544779185739,0.718379477028512
